nome;Richiesta Mentale;Richiesta Fisica;Pressione Temporale;Prestazioni;Richiesta Attenzione;Stress;MEDIA
1V;72;63;37;33;62;63;55
2V;36,5;62,5;67,5;32,5;67,5;57,5;54
3V;27,5;47,5;82,5;27,5;52,5;67,5;50,83333333
4V;47,5;2,5;47,5;32,5;17,5;7,5;25,83333333
5V;47,5;37,5;27,5;37,5;47,5;27,5;37,5
6V;22,5;37,5;17,5;7,5;17,5;47,5;25
MEDIA;42,25;41,75;46,58333333;28,41666667;44,08333333;45,08333333;41,36111111
1T;67,5;47,5;47,5;57,5;57,5;52,5;55
2T;37,5;2,5;12,5;12,5;57,5;2,5;24,5
3T;77,5;32,5;62,5;37,5;72,5;32,5;52,5
4T;82,5;52,5;97,5;72,5;82,5;87,5;79,16666667
5T;57,5;2,5;42,5;47,5;72,5;32,5;42,5
6T;72,5;17,5;87,5;17,5;67,5;22,5;47,5
MEDIA;65,83333333;25,83333333;58,33333333;40,83333333;68,33333333;38,33333333;50,19444444
